2015,Developers' perception of co-change patterns: An empirical study.,UFU; UFMG,Luciana Lourdes Silva; Marco Tulio Valente; Marcelo de Almeida Maia; Nicolas Anquetil
2015,How do developers react to API evolution? The Pharo ecosystem case.,UFMS; UFMG,André C. Hora; Romain Robbes; Nicolas Anquetil; Anne Etien; Stéphane Ducasse; Marco Tulio Valente
2015,System specific, source code transformations.,UFMG,Gustavo Santos; Nicolas Anquetil; Anne Etien; Stéphane Ducasse; Marco Tulio Valente
2016,A Comprehensive Study on the Energy Efficiency of Java's Thread-Safe Collections.,UFPE; UFPA,Gustavo Pinto 0001; Kenan Liu; Fernando Castor; Yu David Liu
2016,A Validated Set of Smells in Model-View-Controller Architectures.,IME/USP,Mauricio Finavaro Aniche; Gabriele Bavota; Christoph Treude; Arie van Deursen; Marco Aurélio Gerosa
2016,Understanding the Factors That Impact the Popularity of GitHub Repositories.,UFMS; UFMG,Hudson Borges; André C. Hora; Marco Tulio Valente
2016,Who is Who in the Mailing List? Comparing Six Disambiguation Heuristics to Identify Multiple Addresses of a Participant.,UTFPR; IME/USP,Igor Scaliante Wiese; José Teodoro da Silva; Igor Steinmacher; Christoph Treude; Marco Aurélio Gerosa
2017,How Long and How Much: What to Expect from Summer of Code Participants?,UTFPR; IME/USP,Jefferson De Oliveira Silva; Igor Scaliante Wiese; Daniel M. Germán; Igor Fabio Steinmacher; Marco Aurélio Gerosa
2014,Designing Deletion Mutation Operators.,ICMC/USP,Márcio Eduardo Delamaro; Jeff Offutt; Paul Ammann
2014,Establishing Theoretical Minimal Sets of Mutants.,ICMC/USP,Paul Ammann; Márcio Eduardo Delamaro; Jeff Offutt
2014,Experimental Evaluation of SDL and One-Op Mutation for C.,ICMC/USP,Márcio Eduardo Delamaro; Lin Deng; Vinicius Humberto Serapilha Durelli; Nan Li 0008; Jeff Offutt
2017,Prevalence of Single-Fault Fixes and Its Impact on Fault Localization.,UFPE,Alexandre Perez; Rui Abreu; Marcelo d'Amorim
2014,Mining questions about software energy consumption.,UFPE; UFPA,Gustavo Pinto 0001; Fernando Castor; Yu David Liu
2014,Thesaurus-based automatic query expansion for interface-driven code search.,UNIFESP,Otávio Augusto Lazzarini Lemos; Adriano Carvalho de Paula; Felipe Capodifoglio Zanichelli; Cristina Videira Lopes
2015,Mining Energy-Aware Commits.,UFPE; UFPA,Irineu Moura; Gustavo Pinto 0001; Felipe Ebert; Fernando Castor
2015,Unveiling Exception Handling Bug Hazards in Android Based on GitHub and Google Code Issues.,UFRN,Roberta Coelho; Lucas Almeida; Georgios Gousios; Arie van Deursen
2016,The impact of switching to a rapid release cycle on the integration delay of addressed issues: an empirical study of the mozilla firefox project.,UFRN,Daniel Alencar da Costa; Shane McIntosh; Uirá Kulesza; Ahmed E. Hassan
2016,Understanding the exception handling strategies of Java libraries: an empirical study.,UFRN; UNB,Demóstenes Sena; Roberta Coelho; Uirá Kulesza; Rodrigo Bonifácio
2017,A study on the energy consumption of Android app development approaches.,UFPE,Wellington Oliveira; Renato Oliveira; Fernando Castor
2017,RefDiff: detecting refactorings in version histories.,UFMG,Danilo Silva; Marco Tulio Valente
2013,Analyzing the Effort of Composing Design Models of Large-Scale Software in Industrial Case Studies.,PUC-Rio,Kleinner Farias; Alessandro Garcia; Jon Whittle; Carlos José Pereira de Lucena
2015,A controlled experiment with Usability Inspection Techniques applied to Use Case Specifications: comparing the MIT 1 and the UCE techniques.,UFAM,Natasha M. Costa Valentim; Jacilane Rabelo; Ana Carolina Oran; Tayana Conte; Sabrina Marczak
2014,Language Extended Lexicon points: Estimating the size of an application using its language.,PUC-Rio,Leandro Antonelli; Gustavo Rossi; Julio Cesar Sampaio do Prado Leite; Alejandro Oliveros
2014,Non-functional requirements as qualities, with a spice of ontology.,UFES,Feng-Lin Li; Jennifer Horkoff; John Mylopoulos; Renata S. S. Guizzardi; Giancarlo Guizzardi; Alexander Borgida; Lin Liu 0001
2014,Extracting relative thresholds for source code metrics.,UFMG,Paloma Oliveira; Marco Tulio Valente; Fernando Paim Lima
2014,Remodularization analysis using semantic clustering.,UFMG,Gustavo Santos; Marco Tulio Valente; Nicolas Anquetil
2015,Does JavaScript software embrace classes?,UFMG,Leonardo Humberto Silva; Miguel Ramos; Marco Tulio Valente; Alexandre Bergel; Nicolas Anquetil
2015,Niche vs. breadth: Calculating expertise over time through a fine-grained analysis.,UFF,Jose Ricardo da Silva Jr.; Esteban Clua; Leonardo Murta; Anita Sarma
2016,An Empirical Study on Recommendations of Similar Bugs.,PUC Minas; UFMG,Henrique Rocha; Marco Tulio Valente; Humberto Marques-Neto; Gail C. Murphy
2016,Do Developers Deprecate APIs with Replacement Messages? A Large-Scale Analysis on Java Systems.,UFMS; UFMG,Gleison Brito; André C. Hora; Marco Tulio Valente; Romain Robbes
2016,Haskell in Green Land: Analyzing the Energy Behavior of a Purely Functional Language.,UFPE,Luis Gabriel Lima; Francisco Soares-Neto; Paulo Lieuthier; Fernando Castor; Gilberto Melfe; João Paulo Fernandes
2016,More Common Than You Think: An In-depth Study of Casual Contributors.,UFPA; UTFPR; IME/USP,Gustavo Pinto 0001; Igor Steinmacher; Marco Aurélio Gerosa
2017,Historical and impact analysis of API breaking changes: A large-scale study.,UFMS; UFMG,Laerte Xavier; Aline Brito; André C. Hora; Marco Tulio Valente
2017,Recommending source code locations for system specific transformations.,UFU,Gustavo Santos; Klérisson Vinícius Ribeiro Paixão; Nicolas Anquetil; Anne Etien; Marcelo de Almeida Maia; Stéphane Ducasse
2018,Dissection of a bug dataset: Anatomy of 395 patches from Defects4J.,UFU,Victor Sobreira; Thomas Durieux; Fernanda Madeiral Delfim; Martin Monperrus; Marcelo de Almeida Maia
2018,Improving developers awareness of the exception handling policy.,UFRN,Taiza Montenegro; Hugo Melo; Roberta Coelho; Eiji Barbosa
2018,The impact of refactoring changes on the SZZ algorithm: An empirical study.,UFRN,Edmilson Campos Neto; Daniel Alencar da Costa; Uirá Kulesza
2018,Why and how Java developers break APIs.,UFMS; UFMG,Aline Brito; Laerte Xavier; André C. Hora; Marco Tulio Valente
2013,Coevolution of variability models and related artifacts: a case study from the Linux kernel.,UFPE,Leonardo Teixeira Passos; Jianmei Guo; Leopoldo Teixeira; Krzysztof Czarnecki; Andrzej Wasowski; Paulo Borba
2014,A survey on software variability management approaches.,UFBA,Karina Villela; Adeline Silva; Tassio Vale; Eduardo Santana de Almeida
2014,Preference-based feature model configuration with multiple stakeholders.,UFSJ; UFRGS,Jacob Stein; Ingrid Nunes; Elder Cirilo
2015,A product line of theories for reasoning about safe evolution of product lines.,UFPE; UFCG; UNB,Leopoldo Teixeira; Vander Alves; Paulo Borba; Rohit Gheyi
2015,Defining metric thresholds for software product lines: a comparative study.,PUC-Rio; UFMG,Gustavo Vale; Danyllo Albuquerque; Eduardo Figueiredo; Alessandro F. Garcia
2015,Faster bug detection for software product lines with incomplete feature models.,UFPE,Sabrina Souto; Divya Gopinath; Marcelo d'Amorim; Darko Marinov; Sarfraz Khurshid; Don S. Batory
2016,Partially safe evolution of software product lines.,UFPE,Gabriela Sampaio; Paulo Borba; Leopoldo Teixeira
2016,Product-line maintenance with emergent contract interfaces.,UFAL,Thomas Thüm; Márcio Ribeiro; Reimar Schröter; Janet Siegmund; Francisco Dalton
2016,RiPLE-HC: javascript systems meets spl composition.,UFBA,Alcemir Rodrigues Santos; Ivan do Carmo Machado; Eduardo Santana de Almeida
